id;role_name;role_description;role_flag;role_eff_date;role_exp_date
1;dynamic bandwidth Buckinghamshire;Oklahoma communities;array supply-chains Advanced;2019-08-31T00:58:25;2019-08-30T23:27:02
2;Handmade Wooden Cheese Fresh;input Naira;Markets;2019-08-31T01:42:05;2019-08-30T23:14:00
3;Refined;Mandatory Assistant;Strategist;2019-08-30T21:21:16;2019-08-31T09:39:45
4;Lead;Principal Senior;Paraguay;2019-08-30T11:26:07;2019-08-31T08:53:16
5;Tuna magenta;Wells;Naira iterate;2019-08-30T17:00:29;2019-08-31T09:36:27
6;web-enabled Brand Regional;Generic B2B;olive;2019-08-30T23:34:11;2019-08-31T01:22:48
7;Persevering analyzing;Engineer Architect;Beauty dynamic schemas;2019-08-30T20:13:54;2019-08-30T18:15:54
8;Keyboard;Licensed Usability models;Personal Loan Account markets;2019-08-30T12:18:47;2019-08-30T13:39:31
9;Aruba Chair portals;online Strategist Shirt;navigate redefine;2019-08-30T14:47:55;2019-08-30T14:29:16
10;bypassing Bypass;Plastic Movies;SMS;2019-08-30T15:11:20;2019-08-30T21:52:27
