id;res_router_link;res_description;res_flag;res_operate;res_href;res_src;res_text;res_class;res_eff_date;res_exp_date;res_lft;res_rgt;res_level;res_order;leaf;res_disabled;res_checked;res_expanded;res_selected
1;Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;2019-08-30T19:17:23;2019-08-30T14:16:34;8413;93563;16162;78534;true;true;true;true;false
2;Unbranded invoice;clear-thinking;Latvia;Ports Manager Fish;Networked;Fish;payment calculating;local area network Benin;2019-08-30T22:29:13;2019-08-31T01:52:24;63633;26520;25046;24398;true;true;true;false;false
3;Investor users dot-com;North Dakota Cambridgeshire;Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;Human;back up Factors;architectures;2019-08-30T11:29:56;2019-08-30T20:57:48;96361;98033;85300;7534;false;false;false;false;true
4;infrastructure;mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;2019-08-31T10:34:26;2019-08-30T22:39:43;62789;79829;19427;64996;false;true;false;true;false
5;FTP Tools California;North Dakota Garden;Towels Specialist;Utah Computers Small Fresh Gloves;Brunei Darussalam interface;compress lavender Investment Account;backing up;Iran;2019-08-30T21:43:23;2019-08-30T17:54:37;63742;13835;72609;13274;true;true;true;true;false
6;redundant;content;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;2019-08-31T06:53:27;2019-08-30T16:30:37;12016;1439;34187;11607;false;false;false;false;false
7;Developer Shoes Music;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station;2019-08-30T21:36:13;2019-08-30T15:00:11;94146;62593;38610;82042;true;true;true;false;false
8;Intelligent Wooden Shirt;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;wireless;hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;2019-08-31T00:32:06;2019-08-30T16:41:01;56852;80683;57592;99050;true;false;false;false;false
9;Louisiana JSON Texas;bandwidth;application Configurable iterate;Berkshire navigating;superstructure;streamline;Interactions;Fantastic time-frame Quality;2019-08-30T11:53:02;2019-08-30T23:07:04;57343;49302;63183;8328;false;false;false;true;false
10;Danish Krone parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined;infomediaries;Fantastic Fresh Salad;Steel Avon Visionary;2019-08-30T20:44:50;2019-08-31T01:42:57;86313;37064;88035;81279;false;true;true;true;true
