id;org_name;org_code;org_flag;org_area_code;org_area_name;org_description;org_lft;org_rgt;org_level;org_order;leaf
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;30424;61165;52475;706;false
2;intangible;enable Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;94220;96563;56328;80839;false
3;Music;Nakfa;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte;18485;3131;96958;84228;true
4;Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;16526;7455;1563;98688;false
5;reinvent 24 hour Jewelery;monitor;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;moratorium moratorium;72960;59129;63755;27472;true
6;Junction Frozen;synthesizing hard drive Robust;Avon;system Small;Intelligent Outdoors;Harbor Montana;69551;90756;13933;24929;true
7;Saint Lucia white;Generic neutral Salad;Auto Loan Account modular Refined;digital maroon;EXE projection Fresh;support Gorgeous;22793;64769;42710;52;true
8;SQL Games;Iraq Bedfordshire;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;71227;30087;14808;28484;true
9;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;Credit Card Account;navigate;23763;24215;72821;80313;false
10;invoice withdrawal;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;9617;17436;94052;69093;false
