id;user_name;role_name;org_name;user_id;role_id
1;payment;National structure;whiteboard indexing;1;1
2;interface Central;intranet index;Idaho customized;2;2
3;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account;3;3
4;Belize Dollar Bacon;Investment Account Rwanda Customer;Liaison copy program;4;4
5;hack Electronics Oklahoma;Cambridgeshire navigate Licensed;Fantastic indexing;5;5
6;Investment Account;haptic Shoes;models;6;6
7;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);port Money Market Account;Chips National Idaho;7;7
8;vortals value-added;Salad Connecticut;Generic Advanced;8;8
9;HDD Security Virginia;solid state Clothing deposit;Maine Checking Account markets;9;9
10;Unbranded programming District;Concrete;Pizza yellow programming;10;10
